MF: initial setting 0
diff_p:33.0107 diff_q:32.343 diff:65.3537 step0 L:175612
diff_p:5.05596 diff_q:6.36298 diff:11.4189 step1 L:105087
diff_p:3.15395 diff_q:3.94935 diff:7.1033 step2 L:77245.7
diff_p:2.33632 diff_q:2.76965 diff:5.10596 step3 L:63190
diff_p:1.87799 diff_q:2.10165 diff:3.97963 step4 L:54886.9
diff_p:1.58797 diff_q:1.68655 diff:3.27452 step5 L:49386.4
diff_p:1.38763 diff_q:1.40797 diff:2.7956 step6 L:45435.5
diff_p:1.24001 diff_q:1.21024 diff:2.45025 step7 L:42428.4
diff_p:1.12597 diff_q:1.0643 diff:2.19027 step8 L:40038.5
diff_p:1.03472 diff_q:0.953519 diff:1.98824 step9 L:38075.2
diff_p:0.95973 diff_q:0.867622 diff:1.82735 step10 L:36419.3
diff_p:0.896825 diff_q:0.799845 diff:1.69667 step11 L:34992.7
diff_p:0.843195 diff_q:0.745543 diff:1.58874 step12 L:33742
diff_p:0.796879 diff_q:0.701429 diff:1.49831 step13 L:32629.5
diff_p:0.756457 diff_q:0.665119 diff:1.42158 step14 L:31627.7
diff_p:0.720874 diff_q:0.634862 diff:1.35574 step15 L:30716.1
diff_p:0.689325 diff_q:0.609354 diff:1.29868 step16 L:29879.2
diff_p:0.661179 diff_q:0.587609 diff:1.24879 step17 L:29104.9
diff_p:0.635934 diff_q:0.568881 diff:1.20481 step18 L:28383.7
diff_p:0.613184 diff_q:0.552593 diff:1.16578 step19 L:27707.9
diff_p:0.592594 diff_q:0.538297 diff:1.13089 step20 L:27071.5
diff_p:0.573883 diff_q:0.525642 diff:1.09953 step21 L:26469.3
diff_p:0.556817 diff_q:0.514347 diff:1.07116 step22 L:25897.2
diff_p:0.541194 diff_q:0.504186 diff:1.04538 step23 L:25351.8
diff_p:0.526841 diff_q:0.494977 diff:1.02182 step24 L:24830.2
diff_p:0.513608 diff_q:0.486567 diff:1.00017 step25 L:24329.8
diff_p:0.501364 diff_q:0.478833 diff:0.980197 step26 L:23848.7
diff_p:0.489994 diff_q:0.471669 diff:0.961664 step27 L:23385
diff_p:0.479399 diff_q:0.464988 diff:0.944388 step28 L:22937.3
diff_p:0.46949 diff_q:0.458715 diff:0.928205 step29 L:22504.3
diff_p:0.460188 diff_q:0.452786 diff:0.912975 step30 L:22084.9
diff_p:0.451425 diff_q:0.447148 diff:0.898573 step31 L:21678.1
diff_p:0.443138 diff_q:0.441754 diff:0.884892 step32 L:21283.1
diff_p:0.435275 diff_q:0.436564 diff:0.871839 step33 L:20899.2
diff_p:0.427788 diff_q:0.431546 diff:0.859334 step34 L:20525.8
diff_p:0.420635 diff_q:0.426671 diff:0.847306 step35 L:20162.4
diff_p:0.413779 diff_q:0.421915 diff:0.835694 step36 L:19808.4
diff_p:0.407189 diff_q:0.417259 diff:0.824447 step37 L:19463.5
diff_p:0.400836 diff_q:0.412684 diff:0.81352 step38 L:19127.2
diff_p:0.394697 diff_q:0.408179 diff:0.802876 step39 L:18799.4
diff_p:0.38875 diff_q:0.403732 diff:0.792482 step40 L:18479.6
diff_p:0.382978 diff_q:0.399334 diff:0.782312 step41 L:18167.7
diff_p:0.377365 diff_q:0.394979 diff:0.772345 step42 L:17863.3
diff_p:0.371899 diff_q:0.390662 diff:0.762561 step43 L:17566.3
diff_p:0.366567 diff_q:0.386379 diff:0.752946 step44 L:17276.4
diff_p:0.361362 diff_q:0.382128 diff:0.74349 step45 L:16993.5
diff_p:0.356274 diff_q:0.377907 diff:0.734181 step46 L:16717.3
diff_p:0.351297 diff_q:0.373717 diff:0.725013 step47 L:16447.8
diff_p:0.346425 diff_q:0.369556 diff:0.715981 step48 L:16184.7
diff_p:0.341654 diff_q:0.365426 diff:0.70708 step49 L:15927.8
diff_p:0.33698 diff_q:0.361328 diff:0.698307 step50 L:15677
error = 15739.3, step = 50
MF: initial setting 1
diff_p:33.2856 diff_q:32.3098 diff:65.5954 step0 L:176633
diff_p:5.05059 diff_q:6.36007 diff:11.4107 step1 L:106502
diff_p:3.15249 diff_q:3.96481 diff:7.1173 step2 L:78544.8
diff_p:2.34526 diff_q:2.7944 diff:5.13965 step3 L:64263.7
diff_p:1.89126 diff_q:2.12807 diff:4.01933 step4 L:55761.9
diff_p:1.60213 diff_q:1.71149 diff:3.31362 step5 L:50107.8
diff_p:1.40149 diff_q:1.43027 diff:2.83176 step6 L:46040.8
diff_p:1.25334 diff_q:1.22961 diff:2.48295 step7 L:42944.6
diff_p:1.13881 diff_q:1.08086 diff:2.21967 step8 L:40485
diff_p:1.04717 diff_q:0.967597 diff:2.01477 step9 L:38465.6
diff_p:0.971876 diff_q:0.879584 diff:1.85146 step10 L:36763.3
diff_p:0.908718 diff_q:0.810055 diff:1.71877 step11 L:35297.6
diff_p:0.854863 diff_q:0.754323 diff:1.60919 step12 L:34013.1
diff_p:0.808328 diff_q:0.709048 diff:1.51738 step13 L:32870.9
diff_p:0.767684 diff_q:0.671795 diff:1.43948 step14 L:31842.6
diff_p:0.731866 diff_q:0.640769 diff:1.37263 step15 L:30907.3
diff_p:0.700065 diff_q:0.614626 diff:1.31469 step16 L:30048.8
diff_p:0.671647 diff_q:0.592354 diff:1.264 step17 L:29254.7
diff_p:0.64611 diff_q:0.573181 diff:1.21929 step18 L:28515.3
diff_p:0.623046 diff_q:0.556512 diff:1.17956 step19 L:27822.9
diff_p:0.602122 diff_q:0.541884 diff:1.14401 step20 L:27171
diff_p:0.583059 diff_q:0.528935 diff:1.11199 step21 L:26554.6
diff_p:0.565622 diff_q:0.517373 diff:1.08299 step22 L:25969.3
diff_p:0.549611 diff_q:0.506967 diff:1.05658 step23 L:25411.7
diff_p:0.534855 diff_q:0.497526 diff:1.03238 step24 L:24878.9
diff_p:0.521207 diff_q:0.488896 diff:1.0101 step25 L:24368.2
diff_p:0.508538 diff_q:0.480949 diff:0.989486 step26 L:23877.6
diff_p:0.496736 diff_q:0.473577 diff:0.970313 step27 L:23405.3
diff_p:0.485703 diff_q:0.466691 diff:0.952394 step28 L:22949.8
diff_p:0.475355 diff_q:0.460216 diff:0.93557 step29 L:22509.7
diff_p:0.465614 diff_q:0.454088 diff:0.919702 step30 L:22083.9
diff_p:0.456416 diff_q:0.448253 diff:0.904668 step31 L:21671.4
diff_p:0.447701 diff_q:0.442666 diff:0.890366 step32 L:21271.3
diff_p:0.439418 diff_q:0.437288 diff:0.876706 step33 L:20883
diff_p:0.431522 diff_q:0.432087 diff:0.86361 step34 L:20505.8
diff_p:0.423974 diff_q:0.427036 diff:0.85101 step35 L:20139.1
diff_p:0.416739 diff_q:0.422112 diff:0.838851 step36 L:19782.3
diff_p:0.409787 diff_q:0.417295 diff:0.827082 step37 L:19435.1
diff_p:0.403091 diff_q:0.41257 diff:0.815661 step38 L:19097
diff_p:0.396628 diff_q:0.407924 diff:0.804552 step39 L:18767.8
diff_p:0.390378 diff_q:0.403347 diff:0.793726 step40 L:18446.9
diff_p:0.384323 diff_q:0.398831 diff:0.783155 step41 L:18134.2
diff_p:0.378449 diff_q:0.394369 diff:0.772818 step42 L:17829.4
diff_p:0.372741 diff_q:0.389956 diff:0.762697 step43 L:17532.3
diff_p:0.367189 diff_q:0.385588 diff:0.752777 step44 L:17242.5
diff_p:0.361783 diff_q:0.381263 diff:0.743046 step45 L:16959.8
diff_p:0.356513 diff_q:0.376979 diff:0.733492 step46 L:16684.1
diff_p:0.351373 diff_q:0.372735 diff:0.724107 step47 L:16415.2
diff_p:0.346355 diff_q:0.36853 diff:0.714885 step48 L:16152.9
diff_p:0.341454 diff_q:0.364364 diff:0.705818 step49 L:15896.9
diff_p:0.336665 diff_q:0.360238 diff:0.696903 step50 L:15647.1
error = 15709, step = 50
MF: initial setting 2
diff_p:33.1763 diff_q:32.1199 diff:65.2962 step0 L:177522
diff_p:5.03685 diff_q:6.41261 diff:11.4495 step1 L:106920
diff_p:3.1334 diff_q:3.99412 diff:7.12752 step2 L:78904.7
diff_p:2.33678 diff_q:2.81127 diff:5.14805 step3 L:64595.9
diff_p:1.89221 diff_q:2.14016 diff:4.03236 step4 L:56051.8
diff_p:1.60917 diff_q:1.72179 diff:3.33097 step5 L:50346.3
diff_p:1.41194 diff_q:1.43976 diff:2.85171 step6 L:46226.6
diff_p:1.26543 diff_q:1.23845 diff:2.50388 step7 L:43080.9
diff_p:1.15148 diff_q:1.08894 diff:2.24043 step8 L:40576.9
diff_p:1.05981 diff_q:0.974777 diff:2.03459 step9 L:38518.6
diff_p:0.984151 diff_q:0.885791 diff:1.86994 step10 L:36782.9
diff_p:0.920456 diff_q:0.815293 diff:1.73575 step11 L:35288.4
diff_p:0.865993 diff_q:0.758657 diff:1.62465 step12 L:33979.3
diff_p:0.818839 diff_q:0.71258 diff:1.53142 step13 L:32815.8
diff_p:0.777598 diff_q:0.674641 diff:1.45224 step14 L:31769.2
diff_p:0.741226 diff_q:0.643045 diff:1.38427 step15 L:30817.8
diff_p:0.70892 diff_q:0.616438 diff:1.32536 step16 L:29945.2
diff_p:0.680051 diff_q:0.593792 diff:1.27384 step17 L:29138.6
diff_p:0.654115 diff_q:0.574322 diff:1.22844 step18 L:28388.1
diff_p:0.630702 diff_q:0.557418 diff:1.18812 step19 L:27685.4
diff_p:0.609473 diff_q:0.542603 diff:1.15208 step20 L:27024.3
diff_p:0.590145 diff_q:0.529503 diff:1.11965 step21 L:26399.3
diff_p:0.572476 diff_q:0.517819 diff:1.0903 step22 L:25806.1
diff_p:0.556263 diff_q:0.507311 diff:1.06357 step23 L:25241.1
diff_p:0.541329 diff_q:0.497782 diff:1.03911 step24 L:24701.3
diff_p:0.52752 diff_q:0.489072 diff:1.01659 step25 L:24184.1
diff_p:0.514705 diff_q:0.481049 diff:0.995754 step26 L:23687.4
diff_p:0.502767 diff_q:0.473603 diff:0.97637 step27 L:23209.3
diff_p:0.491604 diff_q:0.466641 diff:0.958246 step28 L:22748.3
diff_p:0.481129 diff_q:0.460087 diff:0.941216 step29 L:22303
diff_p:0.471262 diff_q:0.453875 diff:0.925137 step30 L:21872.3
diff_p:0.461936 diff_q:0.447951 diff:0.909886 step31 L:21455.2
diff_p:0.453089 diff_q:0.442267 diff:0.895356 step32 L:21050.9
diff_p:0.44467 diff_q:0.436786 diff:0.881456 step33 L:20658.5
diff_p:0.436633 diff_q:0.431474 diff:0.868107 step34 L:20277.6
diff_p:0.428937 diff_q:0.426306 diff:0.855243 step35 L:19907.4
diff_p:0.421548 diff_q:0.421258 diff:0.842805 step36 L:19547.5
diff_p:0.414435 diff_q:0.416311 diff:0.830746 step37 L:19197.5
diff_p:0.407571 diff_q:0.411452 diff:0.819023 step38 L:18856.8
diff_p:0.400935 diff_q:0.406667 diff:0.807603 step39 L:18525.3
diff_p:0.394507 diff_q:0.401949 diff:0.796455 step40 L:18202.5
diff_p:0.388269 diff_q:0.397288 diff:0.785557 step41 L:17888.2
diff_p:0.382208 diff_q:0.39268 diff:0.774888 step42 L:17582
diff_p:0.376311 diff_q:0.38812 diff:0.764431 step43 L:17283.8
diff_p:0.370567 diff_q:0.383606 diff:0.754173 step44 L:16993.2
diff_p:0.364967 diff_q:0.379137 diff:0.744104 step45 L:16710
diff_p:0.359504 diff_q:0.37471 diff:0.734214 step46 L:16434.1
diff_p:0.35417 diff_q:0.370326 diff:0.724496 step47 L:16165.1
diff_p:0.348959 diff_q:0.365985 diff:0.714945 step48 L:15903
diff_p:0.343868 diff_q:0.361688 diff:0.705556 step49 L:15647.5
diff_p:0.33889 diff_q:0.357435 diff:0.696325 step50 L:15398.4
error = 15460.5, step = 50
MF: initial setting 3
diff_p:32.9533 diff_q:32.0052 diff:64.9585 step0 L:178891
diff_p:5.12142 diff_q:6.41598 diff:11.5374 step1 L:107274
diff_p:3.17925 diff_q:4.01363 diff:7.19288 step2 L:78808
diff_p:2.36079 diff_q:2.82862 diff:5.18941 step3 L:64304.6
diff_p:1.90426 diff_q:2.14959 diff:4.05385 step4 L:55690.9
diff_p:1.61408 diff_q:1.72354 diff:3.33762 step5 L:49976.4
diff_p:1.41229 diff_q:1.43606 diff:2.84835 step6 L:45875.3
diff_p:1.26274 diff_q:1.23163 diff:2.49437 step7 L:42759.2
diff_p:1.14671 diff_q:1.08077 diff:2.22748 step8 L:40287.8
diff_p:1.05361 diff_q:0.966375 diff:2.01998 step9 L:38261.4
diff_p:0.976949 diff_q:0.877788 diff:1.85474 step10 L:36555.6
diff_p:0.912564 diff_q:0.807979 diff:1.72054 step11 L:35088.5
diff_p:0.857629 diff_q:0.752121 diff:1.60975 step12 L:33804.3
diff_p:0.81016 diff_q:0.706796 diff:1.51696 step13 L:32663.6
diff_p:0.768715 diff_q:0.669535 diff:1.43825 step14 L:31637.9
diff_p:0.732219 diff_q:0.63852 diff:1.37074 step15 L:30705.8
diff_p:0.699848 diff_q:0.6124 diff:1.31225 step16 L:29851
diff_p:0.670957 diff_q:0.590158 diff:1.26111 step17 L:29061.1
diff_p:0.64503 diff_q:0.571018 diff:1.21605 step18 L:28326.1
diff_p:0.62165 diff_q:0.554384 diff:1.17603 step19 L:27638.1
diff_p:0.600473 diff_q:0.539792 diff:1.14027 step20 L:26990.9
diff_p:0.581213 diff_q:0.526877 diff:1.10809 step21 L:26379.1
diff_p:0.563627 diff_q:0.51535 diff:1.07898 step22 L:25798.6
diff_p:0.547509 diff_q:0.504977 diff:1.05249 step23 L:25245.6
diff_p:0.532683 diff_q:0.495569 diff:1.02825 step24 L:24717.2
diff_p:0.518996 diff_q:0.486971 diff:1.00597 step25 L:24210.9
diff_p:0.506315 diff_q:0.479055 diff:0.98537 step26 L:23724.6
diff_p:0.494524 diff_q:0.471715 diff:0.966239 step27 L:23256.5
diff_p:0.483522 diff_q:0.46486 diff:0.948382 step28 L:22805
diff_p:0.47322 diff_q:0.458415 diff:0.931636 step29 L:22368.7
diff_p:0.46354 diff_q:0.452318 diff:0.915858 step30 L:21946.6
diff_p:0.454412 diff_q:0.446513 diff:0.900924 step31 L:21537.7
diff_p:0.445775 diff_q:0.440954 diff:0.88673 step32 L:21141
diff_p:0.437577 diff_q:0.435604 diff:0.873181 step33 L:20755.9
diff_p:0.429769 diff_q:0.430429 diff:0.860198 step34 L:20381.7
diff_p:0.422311 diff_q:0.4254 diff:0.847712 step35 L:20017.9
diff_p:0.415167 diff_q:0.420496 diff:0.835663 step36 L:19663.9
diff_p:0.408304 diff_q:0.415696 diff:0.824001 step37 L:19319.4
diff_p:0.401696 diff_q:0.410985 diff:0.812681 step38 L:18983.8
diff_p:0.395317 diff_q:0.40635 diff:0.801667 step39 L:18657
diff_p:0.389148 diff_q:0.401779 diff:0.790926 step40 L:18338.4
diff_p:0.383169 diff_q:0.397265 diff:0.780434 step41 L:18028
diff_p:0.377366 diff_q:0.392801 diff:0.770167 step42 L:17725.3
diff_p:0.371725 diff_q:0.388383 diff:0.760108 step43 L:17430.2
diff_p:0.366235 diff_q:0.384006 diff:0.750241 step44 L:17142.4
diff_p:0.360885 diff_q:0.379669 diff:0.740554 step45 L:16861.6
diff_p:0.355668 diff_q:0.37537 diff:0.731038 step46 L:16587.8
diff_p:0.350575 diff_q:0.371108 diff:0.721683 step47 L:16320.8
diff_p:0.3456 diff_q:0.366884 diff:0.712484 step48 L:16060.2
diff_p:0.340738 diff_q:0.362697 diff:0.703435 step49 L:15806
diff_p:0.335984 diff_q:0.358549 diff:0.694533 step50 L:15557.9
error = 15619.8, step = 50
MF: initial setting 4
diff_p:33.2991 diff_q:32.3787 diff:65.6778 step0 L:180079
